test,outcome,estimate,se_robust,ci_lower,ci_upper,bandwidth,N_eff,method,specification,estimate_bc,se_conv,N_left,N_right,pvalue
mccrary,density,2.0,,,,,113755,rddensity,,,,,,
placebo,INTERNET_HOGAR,0.013888171881465905,0.04874512887245832,-0.061494328387197913,0.1295830656363658,15.23163122542157,29668,rdrobust,placebo,0.03404436862458393,0.04541903132080235,18518.0,11150.0,
placebo,SMARTPHONE,0.013767363118383114,0.024634704358993346,-0.021797407162949436,0.07476885946388824,14.286578072246526,27809,rdrobust,placebo,0.026485726150469402,0.022792896874479808,17047.0,10762.0,
bandwidth_h_half,TIENE_BILLETERA,-0.005568174238122517,0.02214828209611383,-0.04985277986517433,0.03696689059045848,7.119387474219959,14803,rdrobust,bandwidth_h_half,-0.0064429446373579224,0.017582284406543938,7965.0,6838.0,
bandwidth_h_optimal,TIENE_BILLETERA,-0.005594084259775617,0.017923691012932633,-0.03965734580089214,0.030602231909852257,14.238774948439918,27809,rdrobust,bandwidth_h_optimal,-0.004527556945519942,0.014014752459611616,17047.0,10762.0,
bandwidth_h_double,TIENE_BILLETERA,-0.020389854823923304,0.013651119198371831,-0.027160767668287164,0.026350636286657,28.477549896879836,50989,rdrobust,bandwidth_h_double,-0.0004050656908150818,0.012439924417380458,37104.0,13885.0,
donut_0.5,TIENE_BILLETERA,-0.0038711035872864424,0.020898955331059208,-0.03763645295949161,0.04428594656728321,14.238774948439918,26750,rdrobust,donut_0.5,0.0033247468038958006,0.015530066968533589,17047.0,9703.0,
donut_1.0,TIENE_BILLETERA,-0.012489687245690037,0.02424610762682673,-0.06216560080195298,0.03287739462577165,14.238774948439918,24744,rdrobust,donut_1.0,-0.014644103088090665,0.015026046847237663,15955.0,8789.0,
donut_2.0,TIENE_BILLETERA,-0.004489319501375627,0.03211447285590981,-0.04853203342061982,0.07735438693952498,14.238774948439918,22829,rdrobust,donut_2.0,0.014411176759452582,0.01621892911152804,14907.0,7922.0,
het_sisfoh_extreme_poor,TIENE_BILLETERA,0.02484804075025347,0.022526750769521802,-0.020533783544373553,0.06776945684957181,14.238774948439918,1229,rdrobust,het_sisfoh_extreme_poor,0.023617836652599124,0.018212431400966636,686.0,543.0,
het_sisfoh_non_extreme_poor,TIENE_BILLETERA,0.008963643456002125,0.018107565314973487,-0.015551474266731351,0.05542887746337807,14.238774948439918,3975,rdrobust,het_sisfoh_non_extreme_poor,0.019938701598323363,0.010764937406231558,2364.0,1611.0,
het_sisfoh_non_poor,TIENE_BILLETERA,-0.00965467054885745,0.020686497455244975,-0.05254082271766317,0.02854875723945608,14.238774948439918,22605,rdrobust,het_sisfoh_non_poor,-0.011996032739103546,0.016009658806887442,13997.0,8608.0,
covariate_balance,INTERNET_HOGAR,0.014668480185185573,0.048869596292450926,-0.060733330200822944,0.130831967143609,14.238774948439918,27809,rdrobust,covariate_balance,0.03504931847139303,0.04564424259329089,17047.0,10762.0,
covariate_balance,SMARTPHONE,0.013872328939776857,0.025577670453193608,-0.014589949990122357,0.08567267580326515,14.238774948439918,27809,rdrobust,covariate_balance,0.035541362906571394,0.02280999561025631,17047.0,10762.0,
covariate_balance,POBREZA,0.00028798288871811906,0.047455489454145273,-0.07158305090202771,0.11443904949566247,14.238774948439918,27809,rdrobust,covariate_balance,0.02142799929681738,0.04257786244846148,17047.0,10762.0,
covariate_balance,INGRESO_PC,-47.123283618801,1339.442576228581,-2078.5951741951712,3171.9232433399584,14.238774948439918,27809,rdrobust,covariate_balance,546.6640345723936,1280.6898301439958,17047.0,10762.0,
covariate_balance,NIVEL_EDUCATIVO,0.11760303114785664,0.3061391974263137,-0.426090547301602,0.773953055121542,14.238774948439918,27325,rdrobust,covariate_balance,0.17393125390997,0.2995004880742137,16757.0,10568.0,
polynomial_linear,TIENE_BILLETERA,-0.005594084259775811,0.016492863439122752,-0.03364828371553325,0.031002552969702758,14.238774948439918,27809,rdrobust,,,,,,
polynomial_quadratic,TIENE_BILLETERA,-0.005098337067836828,0.02084228526112587,-0.048511513127569794,0.0331887438070636,13.916196396374344,26035,rdrobust,,,,,,
placebo_cutoff_left_placebo,TIENE_BILLETERA,-0.006676472035448361,0.0005523405728187308,-0.008331491471209703,-0.006166356211359832,7.4103639556124055,99667,rdrobust_placebo_cutoff,,,,,,
placebo_cutoff_right_placebo,TIENE_BILLETERA,0.007951286676911862,0.014765402145987523,-0.01758520410969477,0.04029410873707717,7.210175495319592,99667,rdrobust_placebo_cutoff,,,,,,
permutation_inference,TIENE_BILLETERA,-5.998828361439946,,,,34.22060685687081,113755,permutation_500,,,,,,0.434
